episode,env_return,total_return
328,7.0,61.36439739182388
329,7.0,62.62092574092571
330,7.0,60.6194330669331
331,7.0,60.424393430357
332,7.0,72.84361843393947
333,7.0,63.58990592740595
334,7.0,60.38736210596955
335,7.0,56.97702017158813
336,7.0,55.180228945012885
337,7.0,61.183975191475206
338,7.0,77.26025224775212
339,7.0,63.13890942390944
340,7.0,74.60180735930723
341,7.0,60.67816305598423
342,7.0,54.881887756206616
343,7.0,58.940872705725624
344,7.0,67.30694055944052
345,7.0,56.67003829503831
346,7.0,59.024559282306896
347,7.0,58.999656177156204
348,7.0,64.08072618126475
349,7.0,66.31076964701961
350,7.0,65.57291803784449
351,7.0,66.24989843489838
352,7.0,66.64830431823071
353,7.0,59.67791708291705
354,7.0,60.04483270985976
355,4.0,64.79847126950976
356,7.0,55.91501049775818
357,7.0,55.019350233100255
358,7.0,66.60474787467422
359,7.0,73.09813513627745
360,7.0,58.58246569606865
361,7.0,60.80868378525495
362,7.0,57.66577455571151
363,7.0,55.486181832577884
364,6.0,60.24287199527035
365,7.0,56.66780565023211
366,7.0,58.301665001665
367,7.0,62.72182906489788
368,7.0,64.34773072515713
369,7.0,62.36791458541457
370,7.0,67.24668408732646
371,7.0,58.71306318681318
372,7.0,64.14754453879455
373,7.0,61.53410547785551
374,7.0,60.98265439797563
375,7.0,64.02895687645687
376,7.0,60.56841783216785
377,7.0,59.959976518579424
378,7.0,63.95643856143855
379,7.0,61.54092144188648
380,7.0,54.07761855146919
381,7.0,58.097514954086144
382,7.0,63.478247169497166
383,7.0,59.52725578343225
384,7.0,56.45959398444689
385,7.0,54.80145767802886
386,7.0,54.85670630069901
387,7.0,57.41491366476661
388,7.0,65.86096793950647
389,7.0,68.22583761826404
390,7.0,58.16685326927973
391,7.0,77.5196461871461
392,7.0,73.14302319584431
393,7.0,58.617912179409835
394,7.0,64.45308435372672
395,7.0,57.212605249497614
396,7.0,56.91396686646684
397,7.0,60.427628205128244
398,7.0,55.58837617619741
399,7.0,61.71844405594407
400,7.0,67.49675336917976
401,7.0,56.47038681906325
402,7.0,62.15050366300361
403,7.0,54.55302237920015
404,7.0,54.311279072433464
405,7.0,59.3672586971852
406,7.0,60.85731890014009
407,7.0,59.1207783882784
408,7.0,60.37342157842153
409,7.0,53.84076722259208
410,7.0,59.960385000706204
411,7.0,57.697572011322
412,7.0,59.14097027972028
